district,facility,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,has_full_accessibility
chama dho,buli,0,0,0,0.75,1,1,1,1,1,1,1,0.5,FALSE
chama dho,chibale,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
chama dho,chifunda,0,0,0,0,0.5,1,1,1,1,1,1,0.5,FALSE
chama dho,chigoma,0,0,0,0,0.5,1,1,1,1,1,1,0.5,FALSE
chama dho,chikwa,0,0,0,0,0.5,1,1,1,1,1,1,0.5,FALSE
chama dho,chilubanama,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
chama dho,fulaza,0,0,0,0,0,0,0,0.75,1,1,1,0.25,FALSE
chama dho,kambombo,0,0,0,0.75,1,1,1,1,1,1,1,0.5,FALSE
chama dho,kambwili,0,0,0,0.75,1,1,1,1,1,1,1,0.5,FALSE
chama dho,kanyelele,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
chama dho,kapichilasenga,0,0,0,0,0.5,1,1,1,1,1,1,0.5,FALSE
chama dho,lundu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
chama dho,mapamba,0,0,0,0,0,0.75,1,1,1,1,1,0,FALSE
chama dho,mphyanakunda,0,0,0,0,0,0,0,0,0,0.75,0.5,0,FALSE
chama dho,mulilo,0,0,0,0,1,1,1,1,1,1,1,0.25,FALSE
chama dho,nthonkho,0,0,0,0,0.75,1,1,1,1,1,1,0.5,FALSE
chama dho,pondo,0,0,0,0,0,0,0,0.75,1,1,1,0.25,FALSE
chama dho,sitwe,0,0,0,0,0,0,0.25,1,1,1,0.75,0.25,FALSE
chama dho,tembwe,0,0,0,0.75,1,1,1,1,1,1,1,1,FALSE
chavuma dho,chingi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
chavuma dho,chivombo,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
chavuma dho,chiyeke,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
chavuma dho,lukolwe mission,0,0,0,0,0.5,1,1,1,1,1,0.75,0.75,FALSE
chavuma dho,nguvu,0,0,0,0,0.25,1,1,1,1,1,0.75,0.75,FALSE
chavuma dho,nyatanda,0,0,0,0,0.25,1,1,1,1,1,0.75,0.75,FALSE
kabompo dho,chifuwe south,0.75,0.75,0.75,0.5,1,1,1,1,1,1,1,1,FALSE
kabompo dho,chikonkwelo,1,0.75,0.5,0.75,1,1,1,1,1,1,1,1,FALSE
kabompo dho,dyambombola,0.75,0.75,1,1,1,1,1,1,1,1,1,1,FALSE
kabompo dho,kabompo,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kabompo dho,kabulamema,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kabompo dho,kalunga,1,0.75,0.75,0.75,1,1,1,1,1,1,1,1,FALSE
kabompo dho,kasamba,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kabompo dho,kashinakaji,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kabompo dho,kayombo,0.75,0.5,0.25,0.5,0.5,1,1,1,1,1,1,0.75,FALSE
kabompo dho,loloma,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kabompo dho,luansongwa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kabompo dho,mayawu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kabompo dho,mumbeji,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kabompo dho,ndungo,0.75,0.75,0.5,0.5,1,1,1,1,1,1,1,0.75,FALSE
kabompo dho,nkulwashi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kabompo dho,saint kalemba,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,afumba,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,chitwa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,kaaba,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,kabilamwandi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,kahare,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,kandende,0.25,1,1,1,1,1,1,1,1,1,1,1,FALSE
kaoma dho,kaoma urban,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,kasabi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,kasimba,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,katunda,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,longe,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,luampa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,luena camp,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,lui,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,mangango,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,mayukwayukwa 1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,mayukwayukwa 2 (aha),1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,mbanyutu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,mulamba,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,mulwa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,mwanambuyu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,nakayembe,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,namilangi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,njonjolo,0.25,0.25,0.5,1,1,1,1,1,1,1,1,0.5,FALSE
kaoma dho,nkenga,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,nkeyema,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,nyambi 1,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,nyambi 2,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,saint josephs,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kaoma dho,winda,0,0,0,0,1,1,1,1,1,1,1,0,FALSE
kaoma dho,zns mangango,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
