district,facility,date
chama dho,chigoma,2009-06-16
chama dho,fulaza,2009-06-16
chama dho,pondo,2009-06-16
chama dho,chifunda,2009-06-17
chama dho,mapamba,2009-06-17
chama dho,chikwa,2009-06-18
chama dho,kapichilasenga,2009-06-18
chama dho,buli,2009-06-19
chama dho,kambombo,2009-06-19
chama dho,mphyanakunda,2009-06-19
chama dho,nthonkho,2009-06-19
chama dho,sitwe,2009-06-19
chama dho,tembwe,2009-06-19
chama dho,kanyelele,2009-07-01
chama dho,chibale,2009-07-06
chama dho,mulilo,2009-07-06
chama dho,chilubanama,2009-07-07
chama dho,lundu,2009-07-07
chama dho,kambombo,2009-07-27
chama dho,kambwili,2009-07-27
chama dho,nthonkho,2009-07-27
chama dho,sitwe,2009-07-27
chama dho,buli,2009-07-28
chama dho,kapichilasenga,2009-07-28
chama dho,pondo,2009-07-28
chama dho,tembwe,2009-07-28
chama dho,chifunda,2009-07-29
chama dho,chigoma,2009-07-29
chama dho,fulaza,2009-07-29
chama dho,mapamba,2009-07-29
chama dho,chikwa,2009-07-31
chama dho,mphyanakunda,2009-08-05
chama dho,chibale,2009-08-06
chama dho,kambombo,2009-08-13
chama dho,nthonkho,2009-08-14
chama dho,buli,2009-08-18
chama dho,chigoma,2009-08-19
chama dho,chikwa,2009-08-19
chama dho,kapichilasenga,2009-08-19
chama dho,tembwe,2009-08-19
chama dho,chifunda,2009-08-20
chama dho,mapamba,2009-08-20
chama dho,pondo,2009-08-20
chama dho,mulilo,2009-08-23
chama dho,chilubanama,2009-08-24
chama dho,lundu,2009-08-24
chama dho,chibale,2009-08-26
chama dho,kambwili,2009-08-28
chama dho,sitwe,2009-08-28
chama dho,buli,2009-09-14
chama dho,kanyelele,2009-09-14
chama dho,mulilo,2009-09-14
chama dho,chibale,2009-09-15
chama dho,kapichilasenga,2009-09-15
chama dho,tembwe,2009-09-15
chama dho,chilubanama,2009-09-16
chama dho,chifunda,2009-09-17
chama dho,chigoma,2009-09-17
chama dho,chikwa,2009-09-17
chama dho,fulaza,2009-09-17
chama dho,mapamba,2009-09-17
chama dho,pondo,2009-09-17
chama dho,lundu,2009-09-17
chama dho,kambombo,2009-09-21
chama dho,kambwili,2009-09-21
chama dho,mphyanakunda,2009-09-21
chama dho,nthonkho,2009-09-21
chama dho,sitwe,2009-09-21
chama dho,kambombo,2009-10-15
chama dho,kambwili,2009-10-15
chama dho,nthonkho,2009-10-15
chama dho,buli,2009-10-17
chama dho,kapichilasenga,2009-10-17
chama dho,tembwe,2009-10-17
chama dho,sitwe,2009-10-19
chama dho,chifunda,2009-10-21
chama dho,chikwa,2009-10-21
chama dho,lundu,2009-10-27
chama dho,chibale,2009-10-28
chama dho,mulilo,2009-10-28
chama dho,mapamba,2009-10-29
chama dho,chigoma,2009-11-04
chama dho,fulaza,2009-11-04
chama dho,pondo,2009-11-04
chama dho,chilubanama,2009-11-05
chama dho,kanyelele,2009-11-09
chama dho,mphyanakunda,2009-11-19
chama dho,chilubanama,2009-11-20
chama dho,kanyelele,2009-11-20
chama dho,fulaza,2009-11-25
chama dho,pondo,2009-11-25
chama dho,chibale,2009-12-02
chama dho,kambombo,2009-12-11
chama dho,kambwili,2009-12-11
chama dho,nthonkho,2009-12-11
chama dho,buli,2009-12-12
chama dho,chibale,2009-12-12
chama dho,kapichilasenga,2009-12-12
chama dho,mulilo,2009-12-12
chama dho,tembwe,2009-12-12
chama dho,chifunda,2009-12-14
chama dho,chigoma,2009-12-14
chama dho,chikwa,2009-12-14
chama dho,chilubanama,2009-12-14
chama dho,lundu,2009-12-15
chama dho,kanyelele,2009-12-17
chama dho,chilubanama,2010-01-27
chama dho,kanyelele,2010-02-15
chama dho,chibale,2010-02-22
chama dho,chilubanama,2010-03-01
chama dho,lundu,2010-03-03
chama dho,kanyelele,2010-03-15
chama dho,chibale,2010-03-19
chama dho,chilubanama,2010-03-20
chama dho,chifunda,2010-04-01
chama dho,buli,2010-04-19
chama dho,kapichilasenga,2010-04-19
chama dho,tembwe,2010-04-19
chama dho,mapamba,2010-04-20
chama dho,pondo,2010-04-20
chama dho,mphyanakunda,2010-04-21
chama dho,chigoma,2010-04-23
chama dho,chikwa,2010-04-23
chama dho,fulaza,2010-04-23
chama dho,kambombo,2010-04-26
chama dho,kambwili,2010-04-26
chama dho,chibale,2010-04-27
chama dho,kanyelele,2010-04-27
chama dho,mulilo,2010-04-27
chama dho,lundu,2010-04-28
chama dho,nthonkho,2010-04-29
chama dho,sitwe,2010-04-29
chavuma dho,chivombo,2009-04-16
chavuma dho,lukolwe mission,2009-04-20
chavuma dho,lukolwe mission,2009-04-20
chavuma dho,chiyeke,2009-04-21
chavuma dho,chingi,2009-04-22
chavuma dho,chingi,2009-04-22
chavuma dho,chivombo,2009-04-23
chavuma dho,chiyeke,2009-04-24
chavuma dho,chiyeke,2009-04-24
chavuma dho,chiyeke,2009-04-24
chavuma dho,nyatanda,2009-04-29
chavuma dho,nyatanda,2009-04-29
chavuma dho,chiyeke,2009-05-05
chavuma dho,chiyeke,2009-05-08
chavuma dho,chingi,2009-05-15
chavuma dho,chingi,2009-05-15
