district,facility,start_date,end_date,lead_time
chama dho,chigoma,2009-07-16,2009-07-29,13
chama dho,chigoma,2009-08-13,2009-08-19,6
chama dho,chigoma,2009-09-10,2009-09-17,7
chama dho,chigoma,2009-10-15,2009-11-04,20
chama dho,chigoma,2009-11-12,2009-12-14,32
chama dho,chigoma,2009-12-10,2009-12-14,4
chama dho,chigoma,2010-01-13,2010-04-23,100
chama dho,chigoma,2010-02-10,2010-04-23,72
chama dho,chigoma,2010-03-11,2010-04-23,43
chama dho,chigoma,2010-04-15,2010-04-23,8
chama dho,fulaza,2009-07-16,2009-07-29,13
chama dho,fulaza,2009-08-13,2009-09-17,35
chama dho,fulaza,2009-09-10,2009-09-17,7
chama dho,fulaza,2009-10-15,2009-11-04,20
chama dho,fulaza,2009-11-12,2009-11-25,13
chama dho,fulaza,2009-12-10,2010-04-23,134
chama dho,fulaza,2010-01-13,2010-04-23,100
chama dho,fulaza,2010-02-10,2010-04-23,72
chama dho,fulaza,2010-03-11,2010-04-23,43
chama dho,fulaza,2010-04-15,2010-04-23,8
chama dho,pondo,2009-07-16,2009-07-28,12
chama dho,pondo,2009-08-13,2009-08-20,7
chama dho,pondo,2009-09-10,2009-09-17,7
chama dho,pondo,2009-10-15,2009-11-04,20
chama dho,pondo,2009-11-12,2009-11-25,13
chama dho,pondo,2009-12-10,2010-04-20,131
chama dho,pondo,2010-01-13,2010-04-20,97
chama dho,pondo,2010-02-10,2010-04-20,69
chama dho,pondo,2010-03-11,2010-04-20,40
chama dho,pondo,2010-04-15,2010-04-20,5
chama dho,chifunda,2009-07-16,2009-07-29,13
chama dho,chifunda,2009-08-13,2009-08-20,7
chama dho,chifunda,2009-09-10,2009-09-17,7
chama dho,chifunda,2009-10-15,2009-10-21,6
chama dho,chifunda,2009-11-12,2009-12-14,32
chama dho,chifunda,2009-12-10,2009-12-14,4
chama dho,chifunda,2010-01-13,2010-04-01,78
chama dho,chifunda,2010-02-10,2010-04-01,50
chama dho,chifunda,2010-03-11,2010-04-01,21
chama dho,mapamba,2009-07-16,2009-07-29,13
chama dho,mapamba,2009-08-13,2009-08-20,7
chama dho,mapamba,2009-09-10,2009-09-17,7
chama dho,mapamba,2009-10-15,2009-10-29,14
chama dho,mapamba,2009-11-12,2010-04-20,159
chama dho,mapamba,2009-12-10,2010-04-20,131
chama dho,mapamba,2010-01-13,2010-04-20,97
chama dho,mapamba,2010-02-10,2010-04-20,69
chama dho,mapamba,2010-03-11,2010-04-20,40
chama dho,mapamba,2010-04-15,2010-04-20,5
chama dho,chikwa,2009-07-16,2009-07-31,15
chama dho,chikwa,2009-08-13,2009-08-19,6
chama dho,chikwa,2009-09-10,2009-09-17,7
chama dho,chikwa,2009-10-15,2009-10-21,6
chama dho,chikwa,2009-11-12,2009-12-14,32
chama dho,chikwa,2009-12-10,2009-12-14,4
chama dho,chikwa,2010-01-13,2010-04-23,100
chama dho,chikwa,2010-02-10,2010-04-23,72
chama dho,chikwa,2010-03-11,2010-04-23,43
chama dho,chikwa,2010-04-15,2010-04-23,8
chama dho,kapichilasenga,2009-07-16,2009-07-28,12
chama dho,kapichilasenga,2009-08-13,2009-08-19,6
chama dho,kapichilasenga,2009-09-10,2009-09-15,5
chama dho,kapichilasenga,2009-10-15,2009-10-17,2
chama dho,kapichilasenga,2009-11-12,2009-12-12,30
chama dho,kapichilasenga,2009-12-10,2009-12-12,2
chama dho,kapichilasenga,2010-01-13,2010-04-19,96
chama dho,kapichilasenga,2010-02-10,2010-04-19,68
chama dho,kapichilasenga,2010-03-11,2010-04-19,39
chama dho,kapichilasenga,2010-04-15,2010-04-19,4
chama dho,buli,2009-07-16,2009-07-28,12
chama dho,buli,2009-08-13,2009-08-18,5
chama dho,buli,2009-09-10,2009-09-14,4
chama dho,buli,2009-10-15,2009-10-17,2
chama dho,buli,2009-11-12,2009-12-12,30
chama dho,buli,2009-12-10,2009-12-12,2
chama dho,buli,2010-01-13,2010-04-19,96
chama dho,buli,2010-02-10,2010-04-19,68
chama dho,buli,2010-03-11,2010-04-19,39
chama dho,buli,2010-04-15,2010-04-19,4
chama dho,kambombo,2009-07-16,2009-07-27,11
chama dho,kambombo,2009-08-13,2009-09-21,39
chama dho,kambombo,2009-09-10,2009-09-21,11
chama dho,kambombo,2009-10-15,2009-12-11,57
chama dho,kambombo,2009-11-12,2009-12-11,29
chama dho,kambombo,2009-12-10,2009-12-11,1
chama dho,kambombo,2010-01-13,2010-04-26,103
chama dho,kambombo,2010-02-10,2010-04-26,75
chama dho,kambombo,2010-03-11,2010-04-26,46
chama dho,kambombo,2010-04-15,2010-04-26,11
chama dho,mphyanakunda,2009-07-16,2009-08-05,20
chama dho,mphyanakunda,2009-08-13,2009-09-21,39
chama dho,mphyanakunda,2009-09-10,2009-09-21,11
chama dho,mphyanakunda,2009-10-15,2009-11-19,35
chama dho,mphyanakunda,2009-11-12,2009-11-19,7
chama dho,mphyanakunda,2009-12-10,2010-04-21,132
chama dho,mphyanakunda,2010-01-13,2010-04-21,98
chama dho,mphyanakunda,2010-02-10,2010-04-21,70
chama dho,mphyanakunda,2010-03-11,2010-04-21,41
chama dho,mphyanakunda,2010-04-15,2010-04-21,6
chama dho,nthonkho,2009-07-16,2009-07-27,11
chama dho,nthonkho,2009-08-13,2009-08-14,1
chama dho,nthonkho,2009-09-10,2009-09-21,11
chama dho,nthonkho,2009-10-15,2009-12-11,57
chama dho,nthonkho,2009-11-12,2009-12-11,29
chama dho,nthonkho,2009-12-10,2009-12-11,1
chama dho,nthonkho,2010-01-13,2010-04-29,106
chama dho,nthonkho,2010-02-10,2010-04-29,78
chama dho,nthonkho,2010-03-11,2010-04-29,49
chama dho,nthonkho,2010-04-15,2010-04-29,14
chama dho,sitwe,2009-07-16,2009-07-27,11
chama dho,sitwe,2009-08-13,2009-08-28,15
chama dho,sitwe,2009-09-10,2009-09-21,11
chama dho,sitwe,2009-10-15,2009-10-19,4
chama dho,sitwe,2009-11-12,2010-04-29,168
chama dho,sitwe,2009-12-10,2010-04-29,140
chama dho,sitwe,2010-01-13,2010-04-29,106
chama dho,sitwe,2010-02-10,2010-04-29,78
chama dho,sitwe,2010-03-11,2010-04-29,49
chama dho,sitwe,2010-04-15,2010-04-29,14
chama dho,tembwe,2009-07-16,2009-07-28,12
chama dho,tembwe,2009-08-13,2009-08-19,6
chama dho,tembwe,2009-09-10,2009-09-15,5
chama dho,tembwe,2009-10-15,2009-10-17,2
chama dho,tembwe,2009-11-12,2009-12-12,30
chama dho,tembwe,2009-12-10,2009-12-12,2
chama dho,tembwe,2010-01-13,2010-04-19,96
chama dho,tembwe,2010-02-10,2010-04-19,68
chama dho,tembwe,2010-03-11,2010-04-19,39
chama dho,tembwe,2010-04-15,2010-04-19,4
chama dho,kanyelele,2009-07-16,2009-09-14,60
chama dho,kanyelele,2009-08-13,2009-09-14,32
chama dho,kanyelele,2009-09-10,2009-09-14,4
chama dho,kanyelele,2009-10-15,2009-11-09,25
chama dho,kanyelele,2009-11-12,2009-11-20,8
chama dho,kanyelele,2009-12-10,2009-12-17,7
chama dho,kanyelele,2010-01-13,2010-02-15,33
chama dho,kanyelele,2010-02-10,2010-02-15,5
chama dho,kanyelele,2010-03-11,2010-03-15,4
chama dho,kanyelele,2010-04-15,2010-04-27,12
chama dho,chibale,2009-07-16,2009-08-06,21
chama dho,chibale,2009-08-13,2009-08-26,13
chama dho,chibale,2009-09-10,2009-09-15,5
chama dho,chibale,2009-10-15,2009-10-28,13
chama dho,chibale,2009-11-12,2009-12-02,20
chama dho,chibale,2009-12-10,2009-12-12,2
chama dho,chibale,2010-01-13,2010-02-22,40
chama dho,chibale,2010-02-10,2010-02-22,12
chama dho,chibale,2010-03-11,2010-03-19,8
chama dho,chibale,2010-04-15,2010-04-27,12
chama dho,mulilo,2009-07-16,2009-08-23,38
chama dho,mulilo,2009-08-13,2009-08-23,10
chama dho,mulilo,2009-09-10,2009-09-14,4
chama dho,mulilo,2009-10-15,2009-10-28,13
chama dho,mulilo,2009-11-12,2009-12-12,30
chama dho,mulilo,2009-12-10,2009-12-12,2
chama dho,mulilo,2010-01-13,2010-04-27,104
chama dho,mulilo,2010-02-10,2010-04-27,76
chama dho,mulilo,2010-03-11,2010-04-27,47
chama dho,mulilo,2010-04-15,2010-04-27,12
chama dho,chilubanama,2009-07-16,2009-08-24,39
chama dho,chilubanama,2009-08-13,2009-08-24,11
chama dho,chilubanama,2009-09-10,2009-09-16,6
chama dho,chilubanama,2009-10-15,2009-11-05,21
chama dho,chilubanama,2009-11-12,2009-11-20,8
chama dho,chilubanama,2009-12-10,2009-12-14,4
chama dho,chilubanama,2010-01-13,2010-01-27,14
chama dho,chilubanama,2010-02-10,2010-03-01,19
chama dho,chilubanama,2010-03-11,2010-03-20,9
chama dho,lundu,2009-07-16,2009-08-24,39
chama dho,lundu,2009-08-13,2009-08-24,11
chama dho,lundu,2009-09-10,2009-09-17,7
chama dho,lundu,2009-10-15,2009-10-27,12
chama dho,lundu,2009-11-12,2009-12-15,33
chama dho,lundu,2009-12-10,2009-12-15,5
chama dho,lundu,2010-01-13,2010-03-03,49
chama dho,lundu,2010-02-10,2010-03-03,21
chama dho,lundu,2010-03-11,2010-04-28,48
chama dho,lundu,2010-04-15,2010-04-28,13
chama dho,kambwili,2009-08-13,2009-08-28,15
chama dho,kambwili,2009-09-10,2009-09-21,11
chama dho,kambwili,2009-10-15,2009-12-11,57
chama dho,kambwili,2009-11-12,2009-12-11,29
chama dho,kambwili,2009-12-10,2009-12-11,1
chama dho,kambwili,2010-01-13,2010-04-26,103
chama dho,kambwili,2010-02-10,2010-04-26,75
chama dho,kambwili,2010-03-11,2010-04-26,46
chama dho,kambwili,2010-04-15,2010-04-26,11
chavuma dho,chivombo,2009-04-18,2009-04-23,5
chavuma dho,chivombo,2009-05-14,2009-05-21,7
chavuma dho,chivombo,2009-06-11,2009-06-18,7
chavuma dho,chivombo,2009-07-16,2009-07-24,8
chavuma dho,chivombo,2009-08-13,2009-08-28,15
chavuma dho,chivombo,2009-09-10,2009-09-17,7
chavuma dho,chivombo,2009-10-15,2009-10-19,4
chavuma dho,chivombo,2009-11-12,2009-11-20,8
chavuma dho,chivombo,2009-12-10,2009-12-28,18
chavuma dho,chivombo,2010-01-14,2010-01-22,8
chavuma dho,chivombo,2010-02-11,2010-02-17,6
chavuma dho,chivombo,2010-03-12,2010-04-26,45
chavuma dho,chivombo,2010-04-15,2010-04-26,11
chavuma dho,lukolwe mission,2009-05-14,2009-05-21,7
chavuma dho,lukolwe mission,2009-06-11,2009-06-19,8
chavuma dho,lukolwe mission,2009-07-16,2009-07-25,9
chavuma dho,lukolwe mission,2009-08-13,2009-08-27,14
chavuma dho,lukolwe mission,2009-09-10,2009-09-25,15
chavuma dho,lukolwe mission,2009-10-15,2009-10-22,7
chavuma dho,lukolwe mission,2009-11-12,2009-11-13,1
chavuma dho,lukolwe mission,2009-12-10,2009-12-31,21
chavuma dho,lukolwe mission,2010-01-14,2010-03-22,67
chavuma dho,lukolwe mission,2010-02-11,2010-03-22,39
chavuma dho,lukolwe mission,2010-03-12,2010-03-22,10
chavuma dho,chiyeke,2009-05-14,2009-05-19,5
chavuma dho,chiyeke,2009-06-11,2009-06-22,11
chavuma dho,chiyeke,2009-07-16,2009-07-27,11
chavuma dho,chiyeke,2009-08-13,2009-08-18,5
chavuma dho,chiyeke,2009-09-10,2009-09-18,8
chavuma dho,chiyeke,2009-10-15,2009-11-13,29
chavuma dho,chiyeke,2009-11-12,2009-11-13,1
chavuma dho,chiyeke,2009-12-10,2009-12-25,15
chavuma dho,chiyeke,2010-01-14,2010-01-22,8
chavuma dho,chiyeke,2010-02-11,2010-02-13,2
chavuma dho,chiyeke,2010-03-12,2010-04-18,37
chavuma dho,chiyeke,2010-04-15,2010-04-18,3
chavuma dho,chingi,2009-05-14,2009-05-15,1
chavuma dho,chingi,2009-06-11,2009-06-17,6
chavuma dho,chingi,2009-07-16,2009-07-27,11
chavuma dho,chingi,2009-08-13,2009-08-18,5
chavuma dho,chingi,2009-09-10,2009-09-18,8
chavuma dho,chingi,2009-10-15,2009-10-19,4
chavuma dho,chingi,2009-11-12,2009-11-19,7
chavuma dho,chingi,2009-12-10,2009-12-28,18
chavuma dho,chingi,2010-01-14,2010-01-22,8
chavuma dho,chingi,2010-02-11,2010-02-17,6
chavuma dho,chingi,2010-03-12,2010-03-24,12
chavuma dho,chingi,2010-04-15,2010-04-21,6
chavuma dho,nyatanda,2009-05-14,2009-06-25,42
chavuma dho,nyatanda,2009-06-11,2009-06-25,14
chavuma dho,nyatanda,2009-07-16,2009-07-28,12
chavuma dho,nyatanda,2009-08-13,2009-08-26,13
chavuma dho,nyatanda,2009-09-10,2009-09-22,12
chavuma dho,nyatanda,2009-10-15,2009-10-27,12
chavuma dho,nyatanda,2009-11-12,2009-11-25,13
chavuma dho,nyatanda,2009-12-10,2009-12-29,19
chavuma dho,nyatanda,2010-01-14,2010-01-27,13
chavuma dho,nguvu,2009-07-16,2009-07-28,12
chavuma dho,nguvu,2009-08-13,2009-09-23,41
chavuma dho,nguvu,2009-09-10,2009-09-23,13
chavuma dho,nguvu,2009-10-15,2009-10-28,13
chavuma dho,nguvu,2009-11-12,2009-11-26,14
chavuma dho,nguvu,2009-12-10,2009-12-29,19
kaoma dho,luena camp,2009-08-13,2009-09-04,22
kaoma dho,luena camp,2009-09-10,2009-10-16,36
kaoma dho,luena camp,2009-10-15,2009-10-16,1
kaoma dho,luena camp,2009-11-12,2009-11-26,14
kaoma dho,luena camp,2009-12-10,2009-12-24,14
kaoma dho,luena camp,2010-01-20,2010-01-22,2
kaoma dho,luena camp,2010-02-17,2010-03-16,27
kaoma dho,luena camp,2010-03-17,2010-04-02,16
kaoma dho,luena camp,2010-04-21,2010-04-22,1
kaoma dho,nkenga,2009-08-13,2009-09-08,26
kaoma dho,nkenga,2009-09-10,2009-11-19,70
kaoma dho,nkenga,2009-10-15,2009-11-19,35
kaoma dho,nkenga,2009-11-12,2009-11-19,7
kaoma dho,nkenga,2009-12-10,2010-01-21,42
kaoma dho,nkenga,2010-01-20,2010-01-21,1
kaoma dho,nkenga,2010-02-17,2010-03-11,22
kaoma dho,kahare,2009-08-13,2009-09-15,33
kaoma dho,kahare,2009-09-10,2009-09-15,5
kaoma dho,kahare,2009-10-15,2009-11-26,42
kaoma dho,kahare,2009-11-12,2009-11-26,14
kaoma dho,kahare,2009-12-10,2009-12-30,20
kaoma dho,kahare,2010-01-20,2010-03-19,58
