district,facility,date
chama dho,buli,2009-05-05
chama dho,chibale,2009-05-05
chama dho,chifunda,2009-05-04
chama dho,chigoma,2009-05-05
chama dho,chikwa,2009-05-05
chama dho,chilubanama,2009-05-03
chama dho,kambombo,2009-05-03
chama dho,kambwili,2009-05-03
chama dho,kanyelele,2009-05-05
chama dho,kapichilasenga,2009-05-05
chama dho,fulaza,2009-05-04
chama dho,lundu,2009-05-04
chama dho,mapamba,2009-05-05
chama dho,mphyanakunda,2009-05-05
chama dho,mulilo,2009-05-05
chama dho,nthonkho,2009-05-04
chama dho,pondo,2009-05-03
chama dho,sitwe,2009-05-05
chama dho,tembwe,2009-05-05
chama dho,buli,2009-06-09
chama dho,chibale,2009-06-05
chama dho,chikwa,2009-06-04
chama dho,chilubanama,2009-06-02
chama dho,kambombo,2009-06-05
chama dho,kambwili,2009-06-05
chama dho,kanyelele,2009-06-01
chama dho,fulaza,2009-06-04
chama dho,lundu,2009-06-03
chama dho,mapamba,2009-06-03
chama dho,nthonkho,2009-06-04
chama dho,sitwe,2009-06-08
chama dho,tembwe,2009-06-05
chama dho,chifunda,2009-06-29
chama dho,chigoma,2009-06-29
chama dho,chikwa,2009-06-29
chama dho,chilubanama,2009-06-30
chama dho,kambombo,2009-06-30
chama dho,kambwili,2009-06-30
chama dho,kapichilasenga,2009-06-29
chama dho,mapamba,2009-06-29
chama dho,mphyanakunda,2009-06-30
chama dho,nthonkho,2009-06-30
chama dho,sitwe,2009-06-30
chama dho,buli,2009-08-04
chama dho,chibale,2009-08-05
chama dho,chifunda,2009-08-04
chama dho,chigoma,2009-08-03
chama dho,chikwa,2009-08-04
chama dho,chilubanama,2009-08-04
chama dho,kambombo,2009-08-04
chama dho,kambwili,2009-08-04
chama dho,kanyelele,2009-08-04
chama dho,kapichilasenga,2009-08-03
chama dho,fulaza,2009-08-04
chama dho,lundu,2009-08-03
chama dho,mapamba,2009-08-04
chama dho,mphyanakunda,2009-08-04
chama dho,mulilo,2009-08-04
chama dho,nthonkho,2009-08-04
chama dho,pondo,2009-08-04
chama dho,sitwe,2009-08-04
chama dho,tembwe,2009-08-05
chama dho,buli,2009-09-04
chama dho,chibale,2009-09-03
chama dho,chigoma,2009-09-03
chama dho,chikwa,2009-09-03
chama dho,chilubanama,2009-09-04
chama dho,kambombo,2009-09-04
chama dho,kambwili,2009-09-04
chama dho,kapichilasenga,2009-09-01
chama dho,fulaza,2009-09-04
chama dho,lundu,2009-09-03
chama dho,mapamba,2009-09-03
chama dho,mphyanakunda,2009-09-04
chama dho,mulilo,2009-09-04
chama dho,pondo,2009-09-04
chama dho,sitwe,2009-09-04
chama dho,tembwe,2009-09-03
chama dho,buli,2009-10-02
chama dho,chibale,2009-10-07
chama dho,chigoma,2009-10-05
chama dho,chikwa,2009-10-05
chama dho,chilubanama,2009-10-05
chama dho,kambombo,2009-10-07
chama dho,kambwili,2009-10-05
chama dho,kapichilasenga,2009-10-06
chama dho,fulaza,2009-10-05
chama dho,lundu,2009-10-05
chama dho,mapamba,2009-10-05
chama dho,mphyanakunda,2009-10-05
chama dho,mulilo,2009-10-05
chama dho,nthonkho,2009-10-05
chama dho,pondo,2009-10-05
chama dho,sitwe,2009-10-05
chama dho,tembwe,2009-10-05
chama dho,buli,2009-11-02
chama dho,chibale,2009-11-05
chama dho,chifunda,2009-11-05
chama dho,chigoma,2009-11-04
chama dho,chikwa,2009-11-04
chama dho,chilubanama,2009-11-03
chama dho,kambombo,2009-11-05
chama dho,kambwili,2009-11-05
chama dho,kapichilasenga,2009-11-02
chama dho,fulaza,2009-11-03
chama dho,lundu,2009-11-04
chama dho,mapamba,2009-11-02
chama dho,mphyanakunda,2009-11-04
chama dho,mulilo,2009-11-05
chama dho,nthonkho,2009-11-04
chama dho,pondo,2009-11-05
chama dho,sitwe,2009-11-02
chama dho,tembwe,2009-11-03
chama dho,buli,2009-12-03
chama dho,chifunda,2009-12-05
chama dho,chigoma,2009-12-05
chama dho,chilubanama,2009-12-05
chama dho,kambombo,2009-12-05
chama dho,kambwili,2009-12-04
chama dho,fulaza,2009-12-05
chama dho,lundu,2009-12-07
chama dho,mapamba,2009-12-05
chama dho,mphyanakunda,2009-12-05
chama dho,tembwe,2009-12-02
chama dho,buli,2010-01-05
chama dho,chifunda,2010-01-04
chama dho,chikwa,2010-01-04
chama dho,kambombo,2010-01-06
chama dho,kambwili,2010-01-06
chama dho,fulaza,2010-01-06
chama dho,lundu,2010-01-04
chama dho,mapamba,2010-01-04
chama dho,nthonkho,2010-01-05
chama dho,pondo,2010-01-06
chama dho,sitwe,2010-01-06
chama dho,tembwe,2010-01-05
chama dho,buli,2010-02-02
chama dho,chibale,2010-02-02
chama dho,chigoma,2010-02-04
chama dho,chikwa,2010-02-04
chama dho,chilubanama,2010-02-02
chama dho,kambombo,2010-02-01
chama dho,kambwili,2010-02-04
chama dho,kanyelele,2010-02-08
chama dho,kapichilasenga,2010-02-04
chama dho,fulaza,2010-02-02
chama dho,lundu,2010-02-03
chama dho,mapamba,2010-02-03
chama dho,mphyanakunda,2010-02-03
chama dho,mulilo,2010-02-04
chama dho,nthonkho,2010-02-03
chama dho,sitwe,2010-02-04
chama dho,tembwe,2010-02-02
chama dho,kambombo,2010-03-03
chama dho,kambwili,2010-03-05
chama dho,mphyanakunda,2010-03-05
chama dho,mulilo,2010-03-05
chama dho,nthonkho,2010-03-04
chama dho,sitwe,2010-03-05
chama dho,chibale,2010-04-07
chama dho,chikwa,2010-04-07
chama dho,chilubanama,2010-04-06
chama dho,kambombo,2010-04-07
chama dho,kambwili,2010-04-06
chama dho,fulaza,2010-04-07
chama dho,lundu,2010-04-06
chama dho,mapamba,2010-04-06
chama dho,mphyanakunda,2010-04-07
chama dho,mulilo,2010-04-07
chama dho,nthonkho,2010-04-06
chama dho,sitwe,2010-04-06
chama dho,chifunda,2010-05-04
chama dho,chigoma,2010-05-04
chama dho,chikwa,2010-05-04
chama dho,chilubanama,2010-05-03
chama dho,kambombo,2010-05-04
chama dho,kambwili,2010-05-05
chama dho,lundu,2010-05-04
