district,year,cycle,date
chama dho,2009,2009-01,2009-01-15
chavuma dho,2009,2009-01,2009-01-15
kabompo dho,2009,2009-01,2009-01-14
kaoma dho,2009,2009-01,2009-01-15
kasama dho,2009,2009-01,2009-01-07
milenge dho,2009,2009-01,2008-12-30
mkushi dho,2009,2009-01,2009-01-06
mufumbwe dho,2009,2009-01,2009-01-14
mungwi dho,2009,2009-01,2009-01-07
mwinilunga dho,2009,2009-01,2009-01-08
nakonde dho,2009,2009-01,2009-01-09
shangombo dho,2009,2009-01,2009-01-16
chama dho,2009,2009-02,2009-02-12
chavuma dho,2009,2009-02,2009-02-12
kabompo dho,2009,2009-02,2009-02-11
kaoma dho,2009,2009-02,2009-02-12
kasama dho,2009,2009-02,2009-02-04
milenge dho,2009,2009-02,2009-01-27
mkushi dho,2009,2009-02,2009-02-03
mufumbwe dho,2009,2009-02,2009-02-11
mungwi dho,2009,2009-02,2009-02-04
mwinilunga dho,2009,2009-02,2009-02-05
nakonde dho,2009,2009-02,2009-02-06
shangombo dho,2009,2009-02,2009-02-13
chama dho,2009,2009-03,2009-03-13
chavuma dho,2009,2009-03,2009-03-13
kabompo dho,2009,2009-03,2009-03-12
kaoma dho,2009,2009-03,2009-03-13
kasama dho,2009,2009-03,2009-03-04
milenge dho,2009,2009-03,2009-02-24
mkushi dho,2009,2009-03,2009-03-03
mufumbwe dho,2009,2009-03,2009-03-12
mungwi dho,2009,2009-03,2009-03-04
mwinilunga dho,2009,2009-03,2009-03-05
nakonde dho,2009,2009-03,2009-03-06
shangombo dho,2009,2009-03,2009-03-14
chama dho,2009,2009-04,2009-04-17
chavuma dho,2009,2009-04,2009-04-18
kabompo dho,2009,2009-04,2009-04-17
kaoma dho,2009,2009-04,2009-04-17
kasama dho,2009,2009-04,2009-04-08
milenge dho,2009,2009-04,2009-03-31
mkushi dho,2009,2009-04,2009-04-07
mufumbwe dho,2009,2009-04,2009-04-17
mungwi dho,2009,2009-04,2009-04-08
mwinilunga dho,2009,2009-04,2009-04-09
nakonde dho,2009,2009-04,2009-04-10
shangombo dho,2009,2009-04,2009-04-18
chama dho,2009,2009-05,2009-05-14
chavuma dho,2009,2009-05,2009-05-14
kabompo dho,2009,2009-05,2009-05-13
kaoma dho,2009,2009-05,2009-05-14
kasama dho,2009,2009-05,2009-05-06
milenge dho,2009,2009-05,2009-04-28
mkushi dho,2009,2009-05,2009-05-05
mufumbwe dho,2009,2009-05,2009-05-13
mungwi dho,2009,2009-05,2009-05-06
mwinilunga dho,2009,2009-05,2009-05-07
nakonde dho,2009,2009-05,2009-05-08
shangombo dho,2009,2009-05,2009-05-15
chama dho,2009,2009-06,2009-06-11
chavuma dho,2009,2009-06,2009-06-11
kabompo dho,2009,2009-06,2009-06-10
kaoma dho,2009,2009-06,2009-06-11
kasama dho,2009,2009-06,2009-06-03
milenge dho,2009,2009-06,2009-05-27
mkushi dho,2009,2009-06,2009-06-02
mufumbwe dho,2009,2009-06,2009-06-10
mungwi dho,2009,2009-06,2009-06-03
mwinilunga dho,2009,2009-06,2009-06-04
nakonde dho,2009,2009-06,2009-06-05
shangombo dho,2009,2009-06,2009-06-12
chama dho,2009,2009-07,2009-07-16
chavuma dho,2009,2009-07,2009-07-16
kabompo dho,2009,2009-07,2009-07-15
kaoma dho,2009,2009-07,2009-07-16
kasama dho,2009,2009-07,2009-07-10
milenge dho,2009,2009-07,2009-06-30
mkushi dho,2009,2009-07,2009-07-09
mufumbwe dho,2009,2009-07,2009-07-15
mungwi dho,2009,2009-07,2009-07-10
mwinilunga dho,2009,2009-07,2009-07-10
nakonde dho,2009,2009-07,2009-07-11
shangombo dho,2009,2009-07,2009-07-18
chama dho,2009,2009-08,2009-08-13
chavuma dho,2009,2009-08,2009-08-13
