district,year,monthly_delivery_cycle,order_submission_date,expected_district_delivery_date
Chama,2009,1,2008-12-30,2009-01-15
Chavuma,2009,1,2008-12-30,2009-01-15
Kabompo,2009,1,2008-12-30,2009-01-14
Kaoma,2009,1,2009-01-06,2009-01-15
Kasama,2009,1,2008-12-26,2009-01-07
Milenge,2009,1,2008-12-19,2008-12-30
Mkushi,2009,1,2008-12-29,2009-01-06
Mufumbwe,2009,1,2008-12-30,2009-01-14
Mungwi,2009,1,2008-12-26,2009-01-07
Mwinilunga,2009,1,2008-12-29,2009-01-08
Nakonde,2009,1,2008-12-29,2009-01-09
Shangombo,2009,1,2009-01-07,2009-01-16
Chama,2009,2,2009-01-28,2009-02-12
Chavuma,2009,2,2009-01-28,2009-02-12
Kabompo,2009,2,2009-01-28,2009-02-11
Kaoma,2009,2,2009-02-05,2009-02-12
Kasama,2009,2,2009-01-22,2009-02-04
Milenge,2009,2,2009-01-16,2009-01-27
Mkushi,2009,2,2009-01-26,2009-02-03
Mufumbwe,2009,2,2009-01-28,2009-02-11
Mungwi,2009,2,2009-01-22,2009-02-04
Mwinilunga,2009,2,2009-01-27,2009-02-05
Nakonde,2009,2,2009-01-26,2009-02-06
Shangombo,2009,2,2009-02-05,2009-02-13
Chama,2009,3,2009-02-25,2009-03-13
Chavuma,2009,3,2009-02-25,2009-03-13
Kabompo,2009,3,2009-02-25,2009-03-12
Kaoma,2009,3,2009-03-05,2009-03-13
Kasama,2009,3,2009-02-19,2009-03-04
Milenge,2009,3,2009-02-13,2009-02-24
Mkushi,2009,3,2009-02-23,2009-03-03
Mufumbwe,2009,3,2009-02-25,2009-03-12
Mungwi,2009,3,2009-02-19,2009-03-04
Mwinilunga,2009,3,2009-02-24,2009-03-05
Nakonde,2009,3,2009-02-23,2009-03-06
Shangombo,2009,3,2009-03-05,2009-03-14
Chama,2009,4,2009-03-31,2009-04-17
Chavuma,2009,4,2009-03-31,2009-04-18
Kabompo,2009,4,2009-03-31,2009-04-17
Kaoma,2009,4,2009-04-06,2009-04-17
Kasama,2009,4,2009-03-26,2009-04-08
Milenge,2009,4,2009-03-20,2009-03-31
Mkushi,2009,4,2009-03-30,2009-04-07
Mufumbwe,2009,4,2009-03-31,2009-04-17
Mungwi,2009,4,2009-03-26,2009-04-08
Mwinilunga,2009,4,2009-03-30,2009-04-09
Nakonde,2009,4,2009-03-30,2009-04-10
Shangombo,2009,4,2009-04-07,2009-04-18
Chama,2009,5,2009-04-29,2009-05-14
Chavuma,2009,5,2009-04-29,2009-05-14
Kabompo,2009,5,2009-04-29,2009-05-13
Kaoma,2009,5,2009-05-06,2009-05-14
Kasama,2009,5,2009-04-23,2009-05-06
Milenge,2009,5,2009-04-17,2009-04-28
Mkushi,2009,5,2009-04-27,2009-05-05
Mufumbwe,2009,5,2009-04-29,2009-05-13
Mungwi,2009,5,2009-04-23,2009-05-06
Mwinilunga,2009,5,2009-04-28,2009-05-07
Nakonde,2009,5,2009-04-27,2009-05-08
Shangombo,2009,5,2009-05-06,2009-05-15
Chama,2009,6,2009-05-28,2009-06-11
Chavuma,2009,6,2009-05-28,2009-06-11
Kabompo,2009,6,2009-05-28,2009-06-10
Kaoma,2009,6,2009-06-04,2009-06-11
Kasama,2009,6,2009-05-21,2009-06-03
Milenge,2009,6,2009-05-15,2009-05-27
Mkushi,2009,6,2009-05-26,2009-06-02
Mufumbwe,2009,6,2009-05-28,2009-06-10
Mungwi,2009,6,2009-05-21,2009-06-03
Mwinilunga,2009,6,2009-05-27,2009-06-04
Nakonde,2009,6,2009-05-26,2009-06-05
Shangombo,2009,6,2009-06-04,2009-06-12
Chama,2009,7,2009-06-30,2009-07-16
Chavuma,2009,7,2009-06-30,2009-07-16
Kabompo,2009,7,2009-06-30,2009-07-15
Kaoma,2009,7,2009-07-08,2009-07-16
Kasama,2009,7,2009-06-25,2009-07-10
Milenge,2009,7,2009-06-19,2009-06-30
Mkushi,2009,7,2009-06-29,2009-07-09
Mufumbwe,2009,7,2009-06-30,2009-07-15
Mungwi,2009,7,2009-06-25,2009-07-10
Mwinilunga,2009,7,2009-06-29,2009-07-10
Nakonde,2009,7,2009-06-29,2009-07-11
Shangombo,2009,7,2009-07-08,2009-07-18
Chama,2009,8,2009-07-29,2009-08-13
Chavuma,2009,8,2009-07-29,2009-08-13
Kabompo,2009,8,2009-07-29,2009-08-12
Kaoma,2009,8,2009-08-05,2009-08-13
Kasama,2009,8,2009-07-23,2009-08-06
Milenge,2009,8,2009-07-17,2009-07-28
Mkushi,2009,8,2009-07-27,2009-08-05
Mufumbwe,2009,8,2009-07-29,2009-08-12
Mungwi,2009,8,2009-07-23,2009-08-06
Mwinilunga,2009,8,2009-07-28,2009-08-07
Nakonde,2009,8,2009-07-27,2009-08-08
Shangombo,2009,8,2009-08-05,2009-08-14
Chama,2009,9,2009-08-26,2009-09-10
Chavuma,2009,9,2009-08-26,2009-09-10
Kabompo,2009,9,2009-08-26,2009-09-09
Kaoma,2009,9,2009-09-04,2009-09-10
Kasama,2009,9,2009-08-20,2009-09-02
Milenge,2009,9,2009-08-14,2009-08-25
Mkushi,2009,9,2009-08-24,2009-09-01
Mufumbwe,2009,9,2009-08-26,2009-09-09
Mungwi,2009,9,2009-08-20,2009-09-02
Mwinilunga,2009,9,2009-08-25,2009-09-03
Nakonde,2009,9,2009-08-24,2009-09-04
Shangombo,2009,9,2009-09-04,2009-09-12
Chama,2009,10,2009-09-29,2009-10-15
Chavuma,2009,10,2009-09-29,2009-10-15
Kabompo,2009,10,2009-09-29,2009-10-14
Kaoma,2009,10,2009-10-06,2009-10-15
Kasama,2009,10,2009-09-24,2009-10-07
Milenge,2009,10,2009-09-18,2009-09-29
Mkushi,2009,10,2009-09-28,2009-10-06
Mufumbwe,2009,10,2009-09-29,2009-10-14
Mungwi,2009,10,2009-09-24,2009-10-07
Mwinilunga,2009,10,2009-09-28,2009-10-08
Nakonde,2009,10,2009-09-28,2009-10-09
Shangombo,2009,10,2009-10-06,2009-10-16
Chama,2009,11,2009-10-27,2009-11-12
Chavuma,2009,11,2009-10-27,2009-11-12
Kabompo,2009,11,2009-10-27,2009-11-11
Kaoma,2009,11,2009-11-05,2009-11-12
Kasama,2009,11,2009-10-22,2009-11-04
Milenge,2009,11,2009-10-16,2009-10-27
Mkushi,2009,11,2009-10-26,2009-11-03
Mufumbwe,2009,11,2009-10-27,2009-11-11
Mungwi,2009,11,2009-10-22,2009-11-04
Mwinilunga,2009,11,2009-10-26,2009-11-05
Nakonde,2009,11,2009-10-26,2009-11-06
Shangombo,2009,11,2009-11-05,2009-11-13
Chama,2009,12,2009-11-25,2009-12-10
Chavuma,2009,12,2009-11-26,2009-12-10
Kabompo,2009,12,2009-11-26,2009-12-09
Kaoma,2009,12,2009-12-04,2009-12-10
Kasama,2009,12,2009-11-19,2009-12-02
Milenge,2009,12,2009-11-13,2009-11-24
Mkushi,2009,12,2009-11-23,2009-12-01
Mufumbwe,2009,12,2009-11-26,2009-12-09
Mungwi,2009,12,2009-11-19,2009-12-02
Mwinilunga,2009,12,2009-11-24,2009-12-03
Nakonde,2009,12,2009-11-23,2009-12-04
Shangombo,2009,12,2009-12-04,2009-12-12
Chama,2010,1,2009-12-24,2010-01-13
