district,configuration,facility,facility_has_full_accessibility,start_date,end_date,lead_time_days
chama dho,xdock,chigoma,FALSE,2009-07-16,2009-07-29,13
chama dho,xdock,chigoma,FALSE,2009-08-13,2009-08-19,6
chama dho,xdock,chigoma,FALSE,2009-09-10,2009-09-17,7
chama dho,xdock,chigoma,FALSE,2009-10-15,2009-11-04,20
chama dho,xdock,chigoma,FALSE,2009-11-12,2009-12-14,32
chama dho,xdock,chigoma,FALSE,2009-12-10,2009-12-14,4
chama dho,xdock,chigoma,FALSE,2010-01-13,2010-04-23,100
chama dho,xdock,chigoma,FALSE,2010-02-10,2010-04-23,72
chama dho,xdock,chigoma,FALSE,2010-03-11,2010-04-23,43
chama dho,xdock,chigoma,FALSE,2010-04-15,2010-04-23,8
chama dho,xdock,fulaza,FALSE,2009-07-16,2009-07-29,13
chama dho,xdock,fulaza,FALSE,2009-08-13,2009-09-17,35
chama dho,xdock,fulaza,FALSE,2009-09-10,2009-09-17,7
chama dho,xdock,fulaza,FALSE,2009-10-15,2009-11-04,20
chama dho,xdock,fulaza,FALSE,2009-11-12,2009-11-25,13
chama dho,xdock,fulaza,FALSE,2009-12-10,2010-04-23,134
chama dho,xdock,fulaza,FALSE,2010-01-13,2010-04-23,100
chama dho,xdock,fulaza,FALSE,2010-02-10,2010-04-23,72
chama dho,xdock,fulaza,FALSE,2010-03-11,2010-04-23,43
chama dho,xdock,fulaza,FALSE,2010-04-15,2010-04-23,8
chama dho,xdock,pondo,FALSE,2009-07-16,2009-07-28,12
chama dho,xdock,pondo,FALSE,2009-08-13,2009-08-20,7
chama dho,xdock,pondo,FALSE,2009-09-10,2009-09-17,7
chama dho,xdock,pondo,FALSE,2009-10-15,2009-11-04,20
chama dho,xdock,pondo,FALSE,2009-11-12,2009-11-25,13
chama dho,xdock,pondo,FALSE,2009-12-10,2010-04-20,131
chama dho,xdock,pondo,FALSE,2010-01-13,2010-04-20,97
chama dho,xdock,pondo,FALSE,2010-02-10,2010-04-20,69
chama dho,xdock,pondo,FALSE,2010-03-11,2010-04-20,40
chama dho,xdock,pondo,FALSE,2010-04-15,2010-04-20,5
chama dho,xdock,chifunda,FALSE,2009-07-16,2009-07-29,13
chama dho,xdock,chifunda,FALSE,2009-08-13,2009-08-20,7
chama dho,xdock,chifunda,FALSE,2009-09-10,2009-09-17,7
chama dho,xdock,chifunda,FALSE,2009-10-15,2009-10-21,6
chama dho,xdock,chifunda,FALSE,2009-11-12,2009-12-14,32
chama dho,xdock,chifunda,FALSE,2009-12-10,2009-12-14,4
chama dho,xdock,chifunda,FALSE,2010-01-13,2010-04-01,78
chama dho,xdock,chifunda,FALSE,2010-02-10,2010-04-01,50
chama dho,xdock,chifunda,FALSE,2010-03-11,2010-04-01,21
chama dho,xdock,mapamba,FALSE,2009-07-16,2009-07-29,13
chama dho,xdock,mapamba,FALSE,2009-08-13,2009-08-20,7
chama dho,xdock,mapamba,FALSE,2009-09-10,2009-09-17,7
chama dho,xdock,mapamba,FALSE,2009-10-15,2009-10-29,14
chama dho,xdock,mapamba,FALSE,2009-11-12,2010-04-20,159
chama dho,xdock,mapamba,FALSE,2009-12-10,2010-04-20,131
chama dho,xdock,mapamba,FALSE,2010-01-13,2010-04-20,97
chama dho,xdock,mapamba,FALSE,2010-02-10,2010-04-20,69
chama dho,xdock,mapamba,FALSE,2010-03-11,2010-04-20,40
chama dho,xdock,mapamba,FALSE,2010-04-15,2010-04-20,5
chama dho,xdock,chikwa,FALSE,2009-07-16,2009-07-31,15
chama dho,xdock,chikwa,FALSE,2009-08-13,2009-08-19,6
chama dho,xdock,chikwa,FALSE,2009-09-10,2009-09-17,7
chama dho,xdock,chikwa,FALSE,2009-10-15,2009-10-21,6
