file_name,district,facility,drug_name,date,transaction_type,transacting_party,receipt,issuance,adjustment,stock_balance,units
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,5/12/09,Physical Count,,NA,NA,NA,60,
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,5/13/09,Issuance,,NA,30,NA,30,
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,5/20/09,Issuance,,NA,30,NA,0,
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,5/29/09,Physical Count,,NA,NA,NA,0,
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,6/8/09,Receipt,,60,NA,NA,60,
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,6/9/09,Issuance,,NA,30,NA,30,
buli H.C-9-6-2009-artemether-lumefantrine 6s-1,Chama,Buli (Chama),Coartem 6,5/12/09,Physical Count,,NA,NA,NA,60,
buli H.C-9-6-2009-artemether-lumefantrine 6s-1,Chama,Buli (Chama),Coartem 6,5/13/09,Issuance,,NA,30,NA,30,
buli H.C-9-6-2009-artemether-lumefantrine 6s-1,Chama,Buli (Chama),Coartem 6,5/24/09,Issuance,,NA,30,NA,0,
buli H.C-9-6-2009-artemether-lumefantrine 6s-1,Chama,Buli (Chama),Coartem 6,5/25/09,Physical Count,,NA,NA,NA,0,
buli H.C-9-6-2009-artemether-lumefantrine 6s-1,Chama,Buli (Chama),Coartem 6,6/8/09,Receipt,,60,NA,NA,60,
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,5/12/09,Physical Count,,NA,NA,NA,60,
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,5/13/09,Issuance,,NA,30,NA,30,
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,5/25/09,Issuance,,NA,30,NA,0,
