File Name,District,Health Center,Drug Name,Date,Transaction Type,Transacting Party,Receipt,Issuance,Adjustment,Stock Balance,Notes,Units,Balanced?,Was
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,5/12/09,Physical Count,,,,,60,,,,0
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,5/13/09,Issuance,,,30,,30,,,,0
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,5/20/09,Issuance,,,30,,0,,,,0
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,5/29/09,Physical Count,,,,,0,,,,0
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,6/8/09,Receipt,,60,,,60,,,,0
buli H.C-9-6-2009-artemether 18s-1,Chama,Buli (Chama),Coartem 18,6/9/09,Issuance,,,30,,30,,,,0
buli H.C-9-6-2009-artemether-lumefantrine 6s-1,Chama,Buli (Chama),Coartem 6,5/12/09,Physical Count,,,,,60,,,,0
buli H.C-9-6-2009-artemether-lumefantrine 6s-1,Chama,Buli (Chama),Coartem 6,5/13/09,Issuance,,,30,,30,,,,0
buli H.C-9-6-2009-artemether-lumefantrine 6s-1,Chama,Buli (Chama),Coartem 6,5/24/09,Issuance,,,30,,0,,,,0
buli H.C-9-6-2009-artemether-lumefantrine 6s-1,Chama,Buli (Chama),Coartem 6,5/25/09,Physical Count,,,,,0,,,,0
buli H.C-9-6-2009-artemether-lumefantrine 6s-1,Chama,Buli (Chama),Coartem 6,6/8/09,Receipt,,60,,,60,,,,0
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,5/12/09,Physical Count,,,,,60,,,,0
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,5/13/09,Issuance,,,30,,30,,,,0
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,5/25/09,Issuance,,,30,,0,,,,0
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,5/31/09,Physical Count,,,,,0,,,,0
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,6/8/09,Receipt,,60,,,60,,,,0
buli H.C-9-6-2009-artemether-lumefantrine 12s-1,Chama,Buli (Chama),Coartem 12,6/9/09,Issuance,,,30,,30,,,,0
chibale.H.C-20-5-2009-artemether-limefantrine 12s-1,Chama,Chibale (Chama),Coartem 12,5/7/09,Receipt,,60,,,60,,,,0
chibale.H.C-20-5-2009-artemether-limefantrine 12s-1,Chama,Chibale (Chama),Coartem 12,5/8/09,Issuance,,,30,,30,,,,0
chibale.H.C-20-5-2009-artemether-lumefantrine 6s-1,Chama,Chibale (Chama),Coartem 6,5/7/09,Receipt,,60,,,60,,,,0
chibale.H.C-20-5-2009-artemether-lumefantrine 6s-1,Chama,Chibale (Chama),Coartem 6,5/8/09,Issuance,,,30,,30,,,,0
chibale.H.C-20-5-2009-artemether-lumefantrine 24s-1,Chama,Chibale (Chama),Coartem 24,5/7/09,Receipt,,120,,,120,,,,0
chibale.H.C-20-5-2009-artemether-lumefantrine 24s-1,Chama,Chibale (Chama),Coartem 24,5/8/09,Issuance,,,30,,90,,,,0
chifunda-H.C17-06-2099-artemether-lumefantrine 24s-1,Chama,Chifunda (Chama),Coartem 24,5/1/09,Physical Count,,,,,0,,,,0
chifunda-H.C17-06-2099-artemether-lumefantrine 24s-1,Chama,Chifunda (Chama),Coartem 24,5/18/09,Receipt,,60,,,60,,,,0
chifunda-H.C17-06-2099-artemether-lumefantrine 24s-1,Chama,Chifunda (Chama),Coartem 24,5/19/09,Issuance,,,30,,30,,,,0
chifunda-H.C17-06-2099-artemether-lumefantrine 24s-1,Chama,Chifunda (Chama),Coartem 24,5/28/09,Issuance,,,30,,0,,,,0
chifunda-H.C17-06-2099-artemether-lumefantrine 24s-1,Chama,Chifunda (Chama),Coartem 24,6/1/09,Physical Count,,,,,0,,,,0
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,5/1/09,Physical Count,,,,,0,,,,0
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,5/18/09,Receipt,,60,,,60,,,,0
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,5/19/09,Issuance,,,30,,30,,,,0
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,6/1/09,Physical Count,,,,,30,,,,0
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,6/4/09,Issuance,,,30,,0,,,,0
chifunda-H.C-17-06-2009-artemether-limefantrine 12s-1,Chama,Chifunda (Chama),Coartem 12,6/17/09,Physical Count,,,,,0,,,,0
chifunda-H.C-17-06-2009-artemether-lumefantrine 18s-1,Chama,Chifunda (Chama),Coartem 18,5/1/09,Physical Count,,,,,0,,,,0
chifunda-H.C-17-06-2009-artemether-lumefantrine 18s-1,Chama,Chifunda (Chama),Coartem 18,5/18/09,Receipt,,60,,,60,,,,0
